"title","location","price_cuisine","price","cuisine","michelin_stars","distinction"
"The Inn at Little Washington","Washington, USA","$$$$ · American","$$$$","American",3,"3 Stars"
"Per Se","New York, USA","$$$$ · Contemporary","$$$$","Contemporary",3,"3 Stars"
"Le Bernardin","New York, USA","$$$$ · Seafood","$$$$","Seafood",3,"3 Stars"
"Eleven Madison Park","New York, USA","$$$$ · Vegan","$$$$","Vegan",3,"3 Stars"
"Masa","New York, USA","$$$$ · Japanese","$$$$","Japanese",3,"3 Stars"
"Smyth","Chicago, USA","$$$$ · Contemporary","$$$$","Contemporary",3,"3 Stars"
"Alinea","Chicago, USA","$$$$ · Creative","$$$$","Creative",3,"3 Stars"
"Chao Shang Chao (Chaoyang)","Beijing, China","¥¥¥¥ · Chao Zhou","¥¥¥¥","Chao Zhou",3,"3 Stars"
"Xin Rong Ji (Xinyuan South Road)","Beijing, China","¥¥¥¥ · Taizhou","¥¥¥¥","Taizhou",3,"3 Stars"
"King's Joy","Beijing, China","¥¥¥ · Vegetarian","¥¥¥","Vegetarian",3,"3 Stars"
"Memories","Bad Ragaz, Switzerland","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"Restaurant de l'Hôtel de Ville","Crissier, Switzerland","€€€€ · Classic French","€€€€","Classic French",3,"3 Stars"
"Cheval Blanc by Peter Knogl","Basel, Switzerland","€€€€ · Classic French","€€€€","Classic French",3,"3 Stars"
"Schloss Schauenstein","Fürstenau, Switzerland","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"Hiša Franko","Kobarid, Slovenia","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"Le Palais","Taipei, Taiwan","$$$$ · Cantonese","$$$$","Cantonese",3,"3 Stars"
"Taïrroir","Taipei, Taiwan","$$$$ · Taiwanese contemporary","$$$$","Taiwanese contemporary",3,"3 Stars"
"JL Studio","Taichung, Taiwan","$$$$ · Singaporean","$$$$","Singaporean",3,"3 Stars"
"Atelier Crenn","San Francisco, USA","$$$$ · Contemporary","$$$$","Contemporary",3,"3 Stars"
"Addison","San Diego, USA","$$$$ · Contemporary","$$$$","Contemporary",3,"3 Stars"
"Quince","San Francisco, USA","$$$$ · Contemporary","$$$$","Contemporary",3,"3 Stars"
"SingleThread","Healdsburg, USA","$$$$ · Contemporary","$$$$","Contemporary",3,"3 Stars"
"Benu","San Francisco, USA","$$$$ · Asian","$$$$","Asian",3,"3 Stars"
"The French Laundry","Yountville, USA","$$$$ · Contemporary","$$$$","Contemporary",3,"3 Stars"
"Zén","Singapore","$$$$ · European Contemporary","$$$$","European Contemporary",3,"3 Stars"
"Les Amis","Singapore","$$$$ · French","$$$$","French",3,"3 Stars"
"Odette","Singapore","$$$$ · French Contemporary","$$$$","French Contemporary",3,"3 Stars"
"noma","Copenhagen, Denmark","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"Maaemo","Oslo, Norway","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",3,"3 Stars"
"Frantzén","Stockholm, Sweden","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",3,"3 Stars"
"Geranium","Copenhagen, Denmark","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"Ta Vie","Hong Kong","$$$$ · Innovative","$$$$","Innovative",3,"3 Stars"
"Caprice","Hong Kong","$$$$ · French Contemporary","$$$$","French Contemporary",3,"3 Stars"
"Sushi Shikon","Hong Kong","$$$$ · Sushi","$$$$","Sushi",3,"3 Stars"
"T'ang Court","Hong Kong","$$$ · Cantonese","$$$","Cantonese",3,"3 Stars"
"Robuchon au Dôme","Macau","$$$$ · French Contemporary","$$$$","French Contemporary",3,"3 Stars"
"8 1/2 Otto e Mezzo - Bombana","Hong Kong","$$$$ · Italian","$$$$","Italian",3,"3 Stars"
"The Eight","Macau","$$$$ · Cantonese","$$$$","Cantonese",3,"3 Stars"
"L'Atelier de Joël Robuchon","Hong Kong","$$$$ · French Contemporary","$$$$","French Contemporary",3,"3 Stars"
"Jade Dragon","Macau","$$$ · Cantonese","$$$","Cantonese",3,"3 Stars"
"Forum","Hong Kong","$$$$ · Cantonese","$$$$","Cantonese",3,"3 Stars"
"De Librije","Zwolle, Netherlands","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",3,"3 Stars"
"JAN","Munich, Germany","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"Schwarzwaldstube","Baiersbronn, Germany","€€€€ · Classic French","€€€€","Classic French",3,"3 Stars"
"Restaurant Bareiss","Baiersbronn, Germany","€€€€ · Classic French","€€€€","Classic French",3,"3 Stars"
"Rutz","Berlin, Germany","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",3,"3 Stars"
"Aqua","Wolfsburg, Germany","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"Waldhotel Sonnora","Dreis, Germany","€€€€ · Classic French","€€€€","Classic French",3,"3 Stars"
"schanz. restaurant.","Piesport, Germany","€€€€ · Modern French","€€€€","Modern French",3,"3 Stars"
"Victor's Fine Dining by christian bau","Perl, Germany","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"The Table Kevin Fehling","Hamburg, Germany","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"Sketch (The Lecture Room & Library)","London, United Kingdom","££££ · Modern French","££££","Modern French",3,"3 Stars"
"L'Enclume","Cartmel, United Kingdom","££££ · Creative British","££££","Creative British",3,"3 Stars"
"Alain Ducasse at The Dorchester","London, United Kingdom","££££ · French","££££","French",3,"3 Stars"
"Hélène Darroze at The Connaught","London, United Kingdom","££££ · Modern Cuisine","££££","Modern Cuisine",3,"3 Stars"
"Fat Duck","Bray, United Kingdom","££££ · Creative","££££","Creative",3,"3 Stars"
"CORE by Clare Smyth","London, United Kingdom","££££ · Modern British","££££","Modern British",3,"3 Stars"
"Restaurant Gordon Ramsay","London, United Kingdom","££££ · French","££££","French",3,"3 Stars"
"Waterside Inn","Bray, United Kingdom","££££ · Classic French","££££","Classic French",3,"3 Stars"
"Boury","Roeselare, Belgium","€€€€ · Creative French","€€€€","Creative French",3,"3 Stars"
"Zilte","Antwerpen, Belgium","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"Hof van Cleve","Kruishoutem, Belgium","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"La Vague d'Or - Cheval Blanc St-Tropez","Saint-Tropez, France","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"René et Maxime Meilleur","Saint-Martin-de-Belleville, France","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"Kei","Paris, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",3,"3 Stars"
"Auberge du Vieux Puits","Fontjoncouse, France","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"Restaurant Marcon","Saint-Bonnet-le-Froid, France","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"Assiette Champenoise","Reims, France","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"Troisgros - Le Bois sans Feuilles","Ouches, France","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"Le Clos des Sens","Annecy, France","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"La Marine","L'Herbaudière, France","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"La Villa Madie","Cassis, France","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"Les Prés d'Eugénie - Michel Guérard","Eugénie-les-Bains, France","€€€€ · Classic Cuisine","€€€€","Classic Cuisine",3,"3 Stars"
"Le Pré Catelan","Paris, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",3,"3 Stars"
"Le 1947 à Cheval Blanc","Courchevel, France","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"Épicure","Paris, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",3,"3 Stars"
"Arpège","Paris, France","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"L'Ambroisie","Paris, France","€€€€ · Classic Cuisine","€€€€","Classic Cuisine",3,"3 Stars"
