"title","location","price_cuisine","price","cuisine","michelin_stars","distinction"
"Neolokal","Istanbul, Türkiye","₺₺₺₺ · Turkish","₺₺₺₺","Turkish",1,"1 Star"
"Teruar Urla","Izmir, Türkiye","₺₺₺ · Mediterranean Cuisine","₺₺₺","Mediterranean Cuisine",1,"1 Star"
"Arkestra","Istanbul, Türkiye","₺₺₺ · Fusion","₺₺₺","Fusion",1,"1 Star"
"Araka","Istanbul, Türkiye","₺₺₺ · Creative","₺₺₺","Creative",1,"1 Star"
"Kitchen","Bodrum, Türkiye","₺₺₺ · Modern Cuisine","₺₺₺","Modern Cuisine",1,"1 Star"
"Vino Locale","Izmir, Türkiye","₺₺₺ · Country cooking","₺₺₺","Country cooking",1,"1 Star"
"OD Urla","Izmir, Türkiye","₺₺ · Creative French","₺₺","Creative French",1,"1 Star"
"Nicole","Istanbul, Türkiye","₺₺₺₺ · Modern Cuisine","₺₺₺₺","Modern Cuisine",1,"1 Star"
"Mikla","Istanbul, Türkiye","₺₺₺₺ · Mediterranean Cuisine","₺₺₺₺","Mediterranean Cuisine",1,"1 Star"
"Maçakızı","Bodrum, Türkiye","₺₺₺ · Modern Cuisine","₺₺₺","Modern Cuisine",1,"1 Star"
"Sankai by Nagaya","Istanbul, Türkiye","₺₺₺₺ · Japanese Contemporary","₺₺₺₺","Japanese Contemporary",1,"1 Star"
"Rania","Washington, USA","$$$$ · Indian","$$$$","Indian",1,"1 Star"
"Little Pearl","Washington, USA","$$$ · Contemporary","$$$","Contemporary",1,"1 Star"
"Fiola","Washington, USA","$$$$ · Italian","$$$$","Italian",1,"1 Star"
"The Dabney","Washington, USA","$$$$ · American","$$$$","American",1,"1 Star"
"Métier","Washington, USA","$$$$ · Contemporary","$$$$","Contemporary",1,"1 Star"
"Kinship","Washington, USA","$$$ · Contemporary","$$$","Contemporary",1,"1 Star"
"Gravitas","Washington, USA","$$$$ · Contemporary","$$$$","Contemporary",1,"1 Star"
"Xiquet","Washington, USA","$$$$ · Spanish","$$$$","Spanish",1,"1 Star"
"Rooster & Owl","Washington, USA","$$$ · Contemporary","$$$","Contemporary",1,"1 Star"
"Masseria","Washington, USA","$$$$ · Italian","$$$$","Italian",1,"1 Star"
"Elcielo D.C.","Washington, USA","$$$$ · Colombian","$$$$","Colombian",1,"1 Star"
"Maydān","Washington, USA","$$$ · Middle Eastern","$$$","Middle Eastern",1,"1 Star"
"Reverie","Washington, USA","$$$$ · Contemporary","$$$$","Contemporary",1,"1 Star"
"Causa","Washington, USA","$$$$ · Peruvian","$$$$","Peruvian",1,"1 Star"
"Bresca","Washington, USA","$$$$ · Contemporary","$$$$","Contemporary",1,"1 Star"
"Oyster Oyster","Washington, USA","$$$ · Vegetarian","$$$","Vegetarian",1,"1 Star"
"Tail Up Goat","Washington, USA","$$ · Contemporary","$$","Contemporary",1,"1 Star"
"Sushi Nakazawa","Washington, USA","$$$$ · Japanese","$$$$","Japanese",1,"1 Star"
"Imperfecto: The Chef's Table","Washington, USA","$$$$ · Latin American","$$$$","Latin American",1,"1 Star"
"Albi","Washington, USA","$$$$ · Middle Eastern","$$$$","Middle Eastern",1,"1 Star"
"Rose’s Luxury","Washington, USA","$$$$ · Contemporary","$$$$","Contemporary",1,"1 Star"
"Shmoné","New York, USA","$$$$ · Israeli","$$$$","Israeli",1,"1 Star"
"Tsukimi","New York, USA","$$$$ · Japanese","$$$$","Japanese",1,"1 Star"
"Sushi Ichimura","New York, USA","$$$$ · Japanese","$$$$","Japanese",1,"1 Star"
"Joomak Banjum","New York, USA","$$$$ · Asian","$$$$","Asian",1,"1 Star"
"Oiji Mi","New York, USA","$$$$ · Korean","$$$$","Korean",1,"1 Star"
"Jua","New York, USA","$$$$ · Korean","$$$$","Korean",1,"1 Star"
"bōm","New York, USA","$$$$ · Korean","$$$$","Korean",1,"1 Star"
"Noz 17","New York, USA","$$$$ · Japanese","$$$$","Japanese",1,"1 Star"
"Torrisi","New York, USA","$$$$ · Contemporary","$$$$","Contemporary",1,"1 Star"
"Red Paper Clip","New York, USA","$$$$ · Contemporary","$$$$","Contemporary",1,"1 Star"
"63 Clinton","New York, USA","$$$$ · Contemporary","$$$$","Contemporary",1,"1 Star"
"Le Jardinier New York","New York, USA","$$$$ · French","$$$$","French",1,"1 Star"
"Rezdôra","New York, USA","$$$$ · Italian","$$$$","Italian",1,"1 Star"
"Semma","New York, USA","$$$ · Indian","$$$","Indian",1,"1 Star"
"Frevo","New York, USA","$$$$ · Contemporary","$$$$","Contemporary",1,"1 Star"
"Meju","New York, USA","$$$$ · Korean","$$$$","Korean",1,"1 Star"
"Torien","New York, USA","$$$$ · Japanese","$$$$","Japanese",1,"1 Star"
"Jōji","New York, USA","$$$$ · Japanese","$$$$","Japanese",1,"1 Star"
"Mari","New York, USA","$$$$ · Korean","$$$$","Korean",1,"1 Star"
"Icca","New York, USA","$$$$ · Japanese","$$$$","Japanese",1,"1 Star"
"Yoshino","New York, USA","$$$$ · Japanese","$$$$","Japanese",1,"1 Star"
"Crown Shy","New York, USA","$$$ · Contemporary","$$$","Contemporary",1,"1 Star"
"Sushi Amane","New York, USA","$$$$ · Japanese","$$$$","Japanese",1,"1 Star"
"The Musket Room","New York, USA","$$$$ · Contemporary","$$$$","Contemporary",1,"1 Star"
"Gramercy Tavern","New York, USA","$$$$ · Contemporary","$$$$","Contemporary",1,"1 Star"
"Sushi Yasuda","New York, USA","$$$$ · Japanese","$$$$","Japanese",1,"1 Star"
"Vestry","New York, USA","$$$$ · Contemporary","$$$$","Contemporary",1,"1 Star"
"Dirt Candy","New York, USA","$$$$ · Vegetarian","$$$$","Vegetarian",1,"1 Star"
"Tuome","New York, USA","$$$ · Fusion","$$$","Fusion",1,"1 Star"
"The Four Horsemen","New York, USA","$$$$ · American","$$$$","American",1,"1 Star"
"Oxalis","New York, USA","$$$ · Contemporary","$$$","Contemporary",1,"1 Star"
"Casa Mono","New York, USA","$$$ · Spanish","$$$","Spanish",1,"1 Star"
"Kosaka","New York, USA","$$$$ · Japanese","$$$$","Japanese",1,"1 Star"
"One White Street","New York, USA","$$$$ · Contemporary","$$$$","Contemporary",1,"1 Star"
"Hirohisa","New York, USA","$$$$ · Japanese","$$$$","Japanese",1,"1 Star"
"Family Meal at Blue Hill","New York, USA","$$$$ · American","$$$$","American",1,"1 Star"
"Le Pavillon","New York, USA","$$$$ · Contemporary","$$$$","Contemporary",1,"1 Star"
"Kochi","New York, USA","$$$$ · Korean","$$$$","Korean",1,"1 Star"
"Essential by Christophe","New York, USA","$$$$ · French Contemporary","$$$$","French Contemporary",1,"1 Star"
"Caviar Russe","New York, USA","$$$$ · Contemporary","$$$$","Contemporary",1,"1 Star"
"Clover Hill","New York, USA","$$$$ · Contemporary","$$$$","Contemporary",1,"1 Star"
"Noda","New York, USA","$$$$ · Japanese","$$$$","Japanese",1,"1 Star"
"Sushi Nakazawa","New York, USA","$$$$ · Japanese","$$$$","Japanese",1,"1 Star"
"Tempura Matsui","New York, USA","$$$$ · Japanese","$$$$","Japanese",1,"1 Star"
"Jeju Noodle Bar","New York, USA","$$$ · Korean","$$$","Korean",1,"1 Star"
"Le Coucou","New York, USA","$$$$ · French","$$$$","French",1,"1 Star"
"Estela","New York, USA","$$$$ · Contemporary","$$$$","Contemporary",1,"1 Star"
